Date,Close
2015-6-12,127.17
2015-6-15,126.92
2015-6-16,127.6
2015-6-17,127.3
2015-6-18,127.88
2015-6-19,126.6
2015-6-22,127.61
2015-6-23,127.03
2015-6-24,128.11
2015-6-25,127.5
2015-6-26,126.75
2015-6-29,124.53
2015-6-30,125.43
2015-7-1,126.6
2015-7-2,126.44
2015-7-6,126
2015-7-7,125.69
2015-7-8,122.57
2015-7-9,120.07
2015-7-10,123.28
2015-7-13,125.66
2015-7-14,125.61
2015-7-15,126.82
2015-7-16,128.51
2015-7-17,129.62
2015-7-20,132.07
2015-7-21,130.75
2015-7-22,125.22
2015-7-23,125.16
2015-7-24,124.5
2015-7-27,122.77
2015-7-28,123.38
2015-7-29,122.99
2015-7-30,122.37
2015-7-31,121.3
2015-8-3,118.44
2015-8-4,114.64
2015-8-5,115.4
2015-8-6,115.13
2015-8-7,115.52
2015-8-10,119.72
2015-8-11,113.49
2015-8-12,115.24
2015-8-13,115.15
2015-8-14,115.96
2015-8-17,117.16
2015-8-18,116.5
2015-8-19,115.01
2015-8-20,112.65
2015-8-21,105.76
2015-8-24,103.12
2015-8-25,103.74
2015-8-26,109.69
2015-8-27,112.92
2015-8-28,113.29
2015-8-31,112.76
2015-9-1,107.72
2015-9-2,112.34
2015-9-3,110.37
2015-9-4,109.27
2015-9-8,112.31
2015-9-9,110.15
2015-9-10,112.57
2015-9-11,114.21
2015-9-14,115.31
2015-9-15,116.28
2015-9-16,116.41
2015-9-17,113.92
2015-9-18,113.45
2015-9-21,115.21
2015-9-22,113.4
2015-9-23,114.32
2015-9-24,115
2015-9-25,114.71
2015-9-28,112.44
2015-9-29,109.06
2015-9-30,110.3
2015-10-1,109.58
2015-10-2,110.38
2015-10-5,110.78
2015-10-6,111.31
2015-10-7,110.78
2015-10-8,109.5
2015-10-9,112.12
2015-10-12,111.6
2015-10-13,111.79
2015-10-14,110.21
2015-10-15,111.86
2015-10-16,111.04
2015-10-19,111.73
2015-10-20,113.77
2015-10-21,113.76
2015-10-22,115.5
2015-10-23,119.08
2015-10-26,115.28
2015-10-27,114.55
2015-10-28,119.27
2015-10-29,120.53
2015-10-30,119.5
2015-11-2,121.18
2015-11-3,122.57
2015-11-4,122
2015-11-5,120.92
2015-11-6,121.06
2015-11-9,120.57
2015-11-10,116.77
2015-11-11,116.11
2015-11-12,115.72
2015-11-13,112.34
2015-11-16,114.18
2015-11-17,113.69
2015-11-18,117.29
2015-11-19,118.78
2015-11-20,119.3
2015-11-23,117.75
2015-11-24,118.88
2015-11-25,118.03
2015-11-27,117.81
2015-11-30,118.3
2015-12-1,117.34
2015-12-2,116.28
2015-12-3,115.2
2015-12-4,119.03
2015-12-7,118.28
2015-12-8,118.23
2015-12-9,115.62
2015-12-10,116.17
2015-12-11,113.18
2015-12-14,112.48
2015-12-15,110.49
2015-12-16,111.34
2015-12-17,108.98
2015-12-18,106.03
2015-12-21,107.33
2015-12-22,107.23
2015-12-23,108.61
2015-12-24,108.03
2015-12-28,106.82
2015-12-29,108.74
2015-12-30,107.32
2015-12-31,105.26
2016-1-4,105.35
2016-1-5,102.71
2016-1-6,100.7
2016-1-7,96.45
2016-1-8,96.96
2016-1-11,98.53
2016-1-12,99.96
2016-1-13,97.39
2016-1-14,99.52
2016-1-15,97.13
2016-1-19,96.66
2016-1-20,96.79
2016-1-21,96.3
2016-1-22,101.42
2016-1-25,99.44
2016-1-26,99.99
2016-1-27,93.42
2016-1-28,94.09
2016-1-29,97.34
2016-2-1,96.43
2016-2-2,94.48
2016-2-3,96.35
2016-2-4,96.6
2016-2-5,94.02
2016-2-8,95.01
2016-2-9,94.99
2016-2-10,94.27
2016-2-11,93.7
2016-2-12,93.99
2016-2-16,96.64
2016-2-17,98.12
2016-2-18,96.26
2016-2-19,96.04
2016-2-22,96.88
2016-2-23,94.69
2016-2-24,96.1
2016-2-25,96.76
2016-2-26,96.91
2016-2-29,96.69
2016-3-1,100.53
2016-3-2,100.75
2016-3-3,101.5
2016-3-4,103.01
2016-3-7,101.87
2016-3-8,101.03
2016-3-9,101.12
2016-3-10,101.17
2016-3-11,102.26
2016-3-14,102.52
2016-3-15,104.58
2016-3-16,105.97
2016-3-17,105.8
2016-3-18,105.92
2016-3-21,105.91
2016-3-22,106.72
2016-3-23,106.13
2016-3-24,105.67
2016-3-28,105.19
2016-3-29,107.68
2016-3-30,109.56
2016-3-31,108.99
2016-4-1,109.99
2016-4-4,111.12
2016-4-5,109.81
2016-4-6,110.96
2016-4-7,108.54
2016-4-8,108.66
2016-4-11,109.02
2016-4-12,110.44
2016-4-13,112.04
2016-4-14,112.1
2016-4-15,109.85
2016-4-18,107.48
2016-4-19,106.91
2016-4-20,107.13
2016-4-21,105.97
2016-4-22,105.68
2016-4-25,105.08
2016-4-26,104.35
2016-4-27,97.82
2016-4-28,94.83
2016-4-29,93.74
2016-5-2,93.64
2016-5-3,95.18
2016-5-4,94.19
2016-5-5,93.24
2016-5-6,92.72
2016-5-9,92.79
2016-5-10,93.42
2016-5-11,92.51
2016-5-12,90.34
2016-5-13,90.52
2016-5-16,93.88
2016-5-17,93.49
2016-5-18,94.56
2016-5-19,94.2
2016-5-20,95.22
2016-5-23,96.43
2016-5-24,97.9
2016-5-25,99.62
2016-5-26,100.41
2016-5-27,100.35
2016-5-31,99.86
2016-6-1,98.46
2016-6-2,97.72
2016-6-3,97.92
2016-6-6,98.63
2016-6-7,99.03
2016-6-8,98.94
2016-6-9,99.65
2016-6-10,98.83
2016-6-13,97.34
2016-6-14,97.46
2016-6-15,97.14
2016-6-16,97.55
2016-6-17,95.33
2016-6-20,95.1
2016-6-21,95.91
2016-6-22,95.55
2016-6-23,96.1
2016-6-24,93.4
2016-6-27,92.04
2016-6-28,93.59
2016-6-29,94.4
2016-6-30,95.6
2016-7-1,95.89
2016-7-5,94.99
2016-7-6,95.53
2016-7-7,95.94
2016-7-8,96.68
2016-7-11,96.98
2016-7-12,97.42
2016-7-13,96.87
2016-7-14,98.79
2016-7-15,98.78
2016-7-18,99.83
2016-7-19,99.87
2016-7-20,99.96
2016-7-21,99.43
2016-7-22,98.66
2016-7-25,97.34
2016-7-26,96.67
2016-7-27,102.95
2016-7-28,104.34
2016-7-29,104.21
2016-8-1,106.05
2016-8-2,104.48
2016-8-3,105.79
2016-8-4,105.87
2016-8-5,107.48
2016-8-8,108.37
2016-8-9,108.81
2016-8-10,108
2016-8-11,107.93
2016-8-12,108.18
2016-8-15,109.48
2016-8-16,109.38
2016-8-17,109.22
2016-8-18,109.08
2016-8-19,109.36
2016-8-22,108.51
2016-8-23,108.85
2016-8-24,108.03
2016-8-25,107.57
2016-8-26,106.94
2016-8-29,106.82
2016-8-30,106
2016-8-31,106.1
2016-9-1,106.73
2016-9-2,107.73
2016-9-6,107.7
2016-9-7,108.36
2016-9-8,105.52
2016-9-9,103.13
2016-9-12,105.44
2016-9-13,107.95
2016-9-14,111.77
2016-9-15,115.57
2016-9-16,114.92
2016-9-19,113.58
2016-9-20,113.57
2016-9-21,113.55
2016-9-22,114.62
2016-9-23,112.71
2016-9-26,112.88
2016-9-27,113.09
2016-9-28,113.95
2016-9-29,112.18
2016-9-30,113.05
2016-10-3,112.52
2016-10-4,113
2016-10-5,113.05
2016-10-6,113.89
2016-10-7,114.06
2016-10-10,116.05
2016-10-11,116.3
2016-10-12,117.34
2016-10-13,116.98
2016-10-14,117.63
2016-10-17,117.55
2016-10-18,117.47
2016-10-19,117.12
2016-10-20,117.06
2016-10-21,116.6
2016-10-24,117.65
2016-10-25,118.25
2016-10-26,115.59
2016-10-27,114.48
2016-10-28,113.72
2016-10-31,113.54
2016-11-1,111.49
2016-11-2,111.59
2016-11-3,109.83
2016-11-4,108.84
2016-11-7,110.41
2016-11-8,111.06
2016-11-9,110.88
2016-11-10,107.79
2016-11-11,108.43
2016-11-14,105.71
2016-11-15,107.11
2016-11-16,109.99
2016-11-17,109.95
2016-11-18,110.06
2016-11-21,111.73
2016-11-22,111.8
2016-11-23,111.23
2016-11-25,111.79
2016-11-28,111.57
2016-11-29,111.46
2016-11-30,110.52
2016-12-1,109.49
2016-12-2,109.9
2016-12-5,109.11
2016-12-6,109.95
2016-12-7,111.03
2016-12-8,112.12
2016-12-9,113.95
2016-12-12,113.3
2016-12-13,115.19
2016-12-14,115.19
2016-12-15,115.82
2016-12-16,115.97
2016-12-19,116.64
2016-12-20,116.95
2016-12-21,117.06
2016-12-22,116.29
2016-12-23,116.52
2016-12-27,117.26
2016-12-28,116.76
2016-12-29,116.73
2016-12-30,115.82
2017-1-3,116.15
2017-1-4,116.02
2017-1-5,116.61
2017-1-6,117.91
2017-1-9,118.99
2017-1-10,119.11
2017-1-11,119.75
2017-1-12,119.25
2017-1-13,119.04
2017-1-17,120
2017-1-18,119.99
2017-1-19,119.78
2017-1-20,120
2017-1-23,120.08
2017-1-24,119.97
2017-1-25,121.88
2017-1-26,121.94
2017-1-27,121.95
2017-1-30,121.63
2017-1-31,121.35
2017-2-1,128.75
2017-2-2,128.53
2017-2-3,129.08
2017-2-6,130.29
2017-2-7,131.53
2017-2-8,132.04
2017-2-9,132.42
2017-2-10,132.12
2017-2-13,133.29
2017-2-14,135.02
2017-2-15,135.51
2017-2-16,135.35
2017-2-17,135.72
2017-2-21,136.7
2017-2-22,137.11
2017-2-23,136.53
2017-2-24,136.66
2017-2-27,136.93
2017-2-28,136.99
2017-3-1,139.79
2017-3-2,138.96
2017-3-3,139.78
2017-3-6,139.34
2017-3-7,139.52
2017-3-8,139
2017-3-9,138.68
2017-3-10,139.14
2017-3-13,139.2
2017-3-14,138.99
2017-3-15,140.46
2017-3-16,140.69
2017-3-17,139.99
2017-3-20,141.46
2017-3-21,139.84
2017-3-22,141.42
2017-3-23,140.92
2017-3-24,140.64
2017-3-27,140.88
2017-3-28,143.8
2017-3-29,144.12
2017-3-30,143.93
2017-3-31,143.66
2017-4-3,143.7
2017-4-4,144.77
2017-4-5,144.02
2017-4-6,143.66
2017-4-7,143.34
2017-4-10,143.17
2017-4-11,141.63
2017-4-12,141.8
2017-4-13,141.05
2017-4-17,141.83
2017-4-18,141.2
2017-4-19,140.68
2017-4-20,142.44
2017-4-21,142.27
2017-4-24,143.64
2017-4-25,144.53
2017-4-26,143.68
2017-4-27,143.79
2017-4-28,143.65
2017-5-1,146.58
2017-5-2,147.51
2017-5-3,147.06
2017-5-4,146.53
2017-5-5,148.96
2017-5-8,153.01
2017-5-9,153.99
2017-5-10,153.26
2017-5-11,153.95
2017-5-12,156.1
2017-5-15,155.7
2017-5-16,155.47
2017-5-17,150.25
2017-5-18,152.54
2017-5-19,153.06
2017-5-22,153.99
2017-5-23,153.8
2017-5-24,153.34
2017-5-25,153.87
2017-5-26,153.61
2017-5-30,153.67
2017-5-31,152.76
2017-6-1,153.18
2017-6-2,155.45
2017-6-5,153.93
2017-6-6,154.45
2017-6-7,155.37
2017-6-8,154.99
2017-6-9,148.98
2017-6-12,145.42
2017-6-13,146.59
2017-6-14,145.16
2017-6-15,144.29
2017-6-16,142.27
2017-6-19,146.34
2017-6-20,145.01
2017-6-21,145.87
2017-6-22,145.63
2017-6-23,146.28
2017-6-26,145.82
2017-6-27,143.73
2017-6-28,145.83
2017-6-29,143.68
2017-6-30,144.02
2017-7-3,143.5
2017-7-5,144.09
2017-7-6,142.73
2017-7-7,144.18
2017-7-10,145.06
2017-7-11,145.53
2017-7-12,145.74
2017-7-13,147.77
2017-7-14,149.04
2017-7-17,149.56
2017-7-18,150.08
2017-7-19,151.02
2017-7-20,150.34
2017-7-21,150.27
2017-7-24,152.09
2017-7-25,152.74
2017-7-26,153.46
2017-7-27,150.56
2017-7-28,149.5
2017-7-31,148.73
2017-8-1,150.05
2017-8-2,157.14
2017-8-3,155.57
2017-8-4,156.39
2017-8-7,158.81
2017-8-8,160.08
2017-8-9,161.06
2017-8-10,155.32
2017-8-11,157.48
2017-8-14,159.85
2017-8-15,161.6
2017-8-16,160.95
2017-8-17,157.86
2017-8-18,157.5
2017-8-21,157.21
2017-8-22,159.78
2017-8-23,159.98
2017-8-24,159.27
2017-8-25,159.86
2017-8-28,161.47
2017-8-29,162.91
2017-8-30,163.35
2017-8-31,164
2017-9-1,164.05
2017-9-5,162.08
2017-9-6,161.91
2017-9-7,161.26
2017-9-8,158.63
2017-9-11,161.5
2017-9-12,160.86
2017-9-13,159.65
2017-9-14,158.28
2017-9-15,159.88
2017-9-18,158.67
2017-9-19,158.73
2017-9-20,156.07
2017-9-21,153.39
2017-9-22,151.89
2017-9-25,150.55
2017-9-26,153.14
2017-9-27,154.23
2017-9-28,153.28
2017-9-29,154.12
2017-10-2,153.81
2017-10-3,154.48
2017-10-4,153.48
2017-10-5,155.39
2017-10-6,155.3
2017-10-9,155.84
2017-10-10,155.9
2017-10-11,156.55
2017-10-12,156
2017-10-13,156.99
2017-10-16,159.88
2017-10-17,160.47
2017-10-18,159.76
2017-10-19,155.98
2017-10-20,156.25
2017-10-23,156.17
2017-10-24,157.1
2017-10-25,156.41
2017-10-26,157.41
2017-10-27,163.05
2017-10-30,166.72
2017-10-31,169.04
2017-11-1,166.89
2017-11-2,168.11
2017-11-3,172.5
2017-11-6,174.25
2017-11-7,174.81
2017-11-8,176.24
2017-11-9,175.88
2017-11-10,174.67
2017-11-13,173.97
2017-11-14,171.34
2017-11-15,169.08
2017-11-16,171.1
2017-11-17,170.15
2017-11-20,169.98
2017-11-21,173.14
2017-11-22,174.96
2017-11-24,174.97
2017-11-27,174.09
2017-11-28,173.07
2017-11-29,169.48
2017-11-30,171.85
2017-12-1,171.05
2017-12-4,169.8
2017-12-5,169.64
2017-12-6,169.01
2017-12-7,169.32
2017-12-8,169.37
2017-12-11,172.67
2017-12-12,171.7
2017-12-13,172.27
2017-12-14,172.22
2017-12-15,173.97
2017-12-18,176.42
2017-12-19,174.54
2017-12-20,174.35
2017-12-21,175.01
2017-12-22,175.01
2017-12-26,170.57
2017-12-27,170.6
2017-12-28,171.08
2017-12-29,169.23
2018-1-2,172.26
2018-1-3,172.23
2018-1-4,173.03
2018-1-5,175
2018-1-8,174.35
2018-1-9,174.33
2018-1-10,174.29
2018-1-11,175.28
2018-1-12,177.09
2018-1-16,176.19
2018-1-17,179.1
2018-1-18,179.26
2018-1-19,178.46
2018-1-22,177
2018-1-23,177.04
2018-1-24,174.22
2018-1-25,171.11
2018-1-26,171.51
2018-1-29,167.96
2018-1-30,166.97
2018-1-31,167.43
2018-2-1,167.78
2018-2-2,160.5
2018-2-5,156.49
2018-2-6,163.03
2018-2-7,159.54
2018-2-8,155.15
2018-2-9,156.41
2018-2-12,162.71
2018-2-13,164.34
2018-2-14,167.37
2018-2-15,172.99
2018-2-16,172.43
2018-2-20,171.85
2018-2-21,171.07
2018-2-22,172.5
2018-2-23,175.5
2018-2-26,178.97
2018-2-27,178.39
2018-2-28,178.12
2018-3-1,175
2018-3-2,176.21
2018-3-5,176.82
2018-3-6,176.67
2018-3-7,175.03
2018-3-8,176.94
2018-3-9,179.98
2018-3-12,181.72
2018-3-13,179.97
2018-3-14,178.44
2018-3-15,178.65
2018-3-16,178.02
2018-3-19,175.3
2018-3-20,175.24
2018-3-21,171.27
2018-3-22,168.85
2018-3-23,164.94
2018-3-26,172.77
2018-3-27,168.34
2018-3-28,166.48
2018-3-29,167.78
2018-4-2,166.68
2018-4-3,168.39
2018-4-4,171.61
2018-4-5,172.8
2018-4-6,168.38
2018-4-9,170.05
2018-4-10,173.25
2018-4-11,172.44
2018-4-12,174.14
2018-4-13,174.73
2018-4-16,174.73
2018-4-17,178.24
2018-4-18,177.84
2018-4-19,172.8
2018-4-20,165.72
2018-4-23,165.24
2018-4-24,162.94
2018-4-25,163.65
2018-4-26,164.22
2018-4-27,162.32
2018-4-30,165.26
2018-5-1,169.1
2018-5-2,176.57
2018-5-3,176.89
2018-5-4,183.83
2018-5-7,185.16
2018-5-8,186.05
2018-5-9,187.36
2018-5-10,190.04
2018-5-11,188.59
2018-5-14,188.15
2018-5-15,186.44
2018-5-16,188.18
2018-5-17,186.99
2018-5-18,186.31
2018-5-21,187.63
2018-5-22,187.16
2018-5-23,188.36
2018-5-24,188.15
2018-5-25,188.58
2018-5-29,187.9
2018-5-30,187.5
2018-5-31,186.87
2018-6-1,190.24
2018-6-4,191.83
2018-6-5,193.31
2018-6-6,193.98
2018-6-7,193.46
2018-6-8,191.7
2018-6-11,191.23
2018-6-12,192.28
2018-6-13,190.7
2018-6-14,190.8
2018-6-15,188.84
2018-6-18,188.74
2018-6-19,185.69
2018-6-20,186.5
2018-6-21,185.46
2018-6-22,184.92
2018-6-25,182.17
2018-6-26,184.43
2018-6-27,184.16
2018-6-28,185.5
2018-6-29,185.11
2018-7-2,187.18
2018-7-3,183.92
2018-7-5,185.4
2018-7-6,187.97
2018-7-9,190.58
2018-7-10,190.35
2018-7-11,187.88
2018-7-12,191.03
2018-7-13,191.33
2018-7-16,190.91
2018-7-17,191.45
2018-7-18,190.4
2018-7-19,191.88
2018-7-20,191.44
2018-7-23,191.44
2018-7-24,193
2018-7-25,194.82
2018-7-26,194.21
2018-7-27,190.98
2018-7-30,189.91
2018-7-31,190.29
2018-8-1,201.5
2018-8-2,207.39
2018-8-3,207.99
2018-8-6,209.07
2018-8-7,207.11
2018-8-8,207.25
2018-8-9,208.88
2018-8-10,207.53
2018-8-13,208.87
2018-8-14,209.75
2018-8-15,210.24
2018-8-16,213.32
2018-8-17,217.58
2018-8-20,215.46
2018-8-21,215.04
2018-8-22,215.05
2018-8-23,215.49
2018-8-24,216.16
2018-8-27,217.94
2018-8-28,219.7
2018-8-29,222.98
2018-8-30,225.03
2018-8-31,227.63
2018-9-4,228.36
2018-9-5,226.87
2018-9-6,223.1
2018-9-7,221.3
2018-9-10,218.33
2018-9-11,223.85
2018-9-12,221.07
2018-9-13,226.41
2018-9-14,223.84
2018-9-17,217.88
2018-9-18,218.24
2018-9-19,218.37
2018-9-20,220.03
2018-9-21,217.66
2018-9-24,220.79
2018-9-25,222.19
2018-9-26,220.42
2018-9-27,224.95
2018-9-28,225.74
2018-10-1,227.26
2018-10-2,229.28
2018-10-3,232.07
2018-10-4,227.99
2018-10-5,224.29
2018-10-8,223.77
2018-10-9,226.87
2018-10-10,216.36
2018-10-11,214.45
2018-10-12,222.11
2018-10-15,217.36
2018-10-16,222.15
2018-10-17,221.19
2018-10-18,216.02
2018-10-19,219.31
2018-10-22,220.65
2018-10-23,222.73
2018-10-24,215.09
2018-10-25,219.8
2018-10-26,216.3
2018-10-29,212.24
2018-10-30,213.3
2018-10-31,218.86
2018-11-1,222.22
2018-11-2,207.48
